"","StationCode","StationName","SampleDate","anomaly","Year","Month","parameters","Values"
"1","PHB","Port Hacking",1953-05-31,-0.964179051685217,1953,2.61833333333333,"Salinity_psu",35.371
"2","PHB","Port Hacking",1953-05-31,-0.844215194323257,1953,2.61833333333333,"Nitrate_umolL",0.01
"3","PHB","Port Hacking",1953-05-31,-0.815003944122959,1953,2.61833333333333,"Nitrate_umolL",0.1
"4","PHB","Port Hacking",1953-05-31,-0.36415116405827,1953,2.61833333333333,"Salinity_psu",35.444
"5","PHB","Port Hacking",1953-05-31,-0.336262166586268,1953,2.61833333333333,"Phosphate_umolL",0.26
"6","PHB","Port Hacking",1953-05-31,0.366180992356929,1953,2.61833333333333,"Temperature_degC",18.6
"7","PHB","Port Hacking",1953-05-31,NA,1953,2.61833333333333,"Silicate_umolL",NA
"8","PHB","Port Hacking",1953-06-09,-1.26008321544646,1953,3.142,"Salinity_psu",35.335
"9","PHB","Port Hacking",1953-06-09,-1.11213113356584,1953,3.142,"Salinity_psu",35.353
"10","PHB","Port Hacking",1953-06-09,-0.844215194323257,1953,3.142,"Nitrate_umolL",0.01
"11","PHB","Port Hacking",1953-06-09,-0.489178659445653,1953,3.142,"Phosphate_umolL",0.23
"12","PHB","Port Hacking",1953-06-09,-0.336262166586268,1953,3.142,"Phosphate_umolL",0.26
"13","PHB","Port Hacking",1953-06-09,0.00687572022664856,1953,3.142,"Temperature_degC",17.8
"14","PHB","Port Hacking",1953-06-09,0.0517888792429326,1953,3.142,"Temperature_degC",17.9
"15","PHB","Port Hacking",1953-06-09,NA,1953,3.142,"Silicate_umolL",NA
"16","PHB","Port Hacking",1953-06-18,-1.61056627374781,1953,3.142,"Phosphate_umolL",0.01
"17","PHB","Port Hacking",1953-06-18,-0.620262276120972,1953,3.142,"Nitrate_umolL",0.7
"18","PHB","Port Hacking",1953-06-18,-0.522891442119979,1953,3.142,"Nitrate_umolL",1
"19","PHB","Port Hacking",1953-06-18,-0.489178659445653,1953,3.142,"Phosphate_umolL",0.23
"20","PHB","Port Hacking",1953-06-18,-0.0682470002970854,1953,3.142,"Salinity_psu",35.48
"21","PHB","Port Hacking",1953-06-18,0.523561327225401,1953,3.142,"Salinity_psu",35.552
"22","PHB","Port Hacking",1953-06-18,NA,1953,3.142,"Silicate_umolL",NA
"23","PHB","Port Hacking",1953-06-18,NA,1953,3.142,"Temperature_degC",NA
"24","PHB","Port Hacking",1953-06-29,-0.336262166586268,1953,3.142,"Phosphate_umolL",0.26
"25","PHB","Port Hacking",1953-06-29,-0.165865050783004,1953,3.142,"Nitrate_umolL",2.1
"26","PHB","Port Hacking",1953-06-29,-0.127863756822207,1953,3.142,"Temperature_degC",17.5
"27","PHB","Port Hacking",1953-06-29,-0.0829505978059211,1953,3.142,"Temperature_degC",17.6
"28","PHB","Port Hacking",1953-06-29,0.0797050815835362,1953,3.142,"Salinity_psu",35.498
"29","PHB","Port Hacking",1953-06-29,NA,1953,3.142,"Nitrate_umolL",NA
"30","PHB","Port Hacking",1953-06-29,NA,1953,3.142,"Silicate_umolL",NA
"31","PHB","Port Hacking",1953-07-05,-0.998900302310269,1953,3.66566666666667,"Phosphate_umolL",0.13
"32","PHB","Port Hacking",1953-07-05,-0.262603233871062,1953,3.66566666666667,"Temperature_degC",17.2
"33","PHB","Port Hacking",1953-07-05,-0.216199082177649,1953,3.66566666666667,"Salinity_psu",35.462
"34","PHB","Port Hacking",1953-07-05,0.0288766172189821,1953,3.66566666666667,"Nitrate_umolL",2.7
